,composition,temperature,VAM,CW,HIP,SPS,A,BCC,FCC,HCP,IM,CTE,compressive ductility,compressive yield stress,d parameter,density,hardness,tensile ductility,tensile yield stress,ultimate compressive strength,ultimate tensile strength,youngs modulus
34,Al0.5Cr1Fe1Co1Cu1Ni1,0.45766666666666667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,80000000.0,,,,,,,,
35,Al0.5Cr1Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,368000000.0,,,1686804000.0,,,,,
36,Al0.5Cr1Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.23e-06,,,,,1804488000.0,,,,,
37,Al0.5Cr1Fe1Co1Ni1,0.12433333333333332,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.933e-05,,,,,,,,,,
38,Al0.5Cr1Fe1Co1Ni1,0.19999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.487e-05,,,,,,,,,,
39,Al0.5Cr1Fe1Co1Ni1,0.35766666666666663,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.321e-05,,,,,,,,,,
40,Al0.5Cr1Fe1Co1Ni1Mo0.1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,414000000.0,,,2206575000.0,,,,,
41,Al0.5Cr1Fe1Co1Ni1Mo0.2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,34.0,556000000.0,,,2844030000.0,,,,2006000000.0,
42,Al0.5Cr1Fe1Co1Ni1Mo0.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,31.0,814000000.0,,,3334380000.0,,,,2101000000.0,
43,Al0.5Cr1Fe1Co1Ni1Mo0.4,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,18.0,1091000000.0,,,4315080000.0,,,,2117000000.0,
44,Al0.5Cr1Fe1Co1Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,4167975000.0,,,,,
45,Al0.5Cr1Fe1Co1Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,10.0,1544000000.0,,,5599797000.0,,,,2360000000.0,
46,Al0.5Cr1Fe1Cu1Ni1,0.091,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,2814609000.0,,,,,
47,Al0.5Cr1Fe1Cu1Ni1,0.091,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,2216382000.0,,,,,
48,Al0.5Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,346000000.0,,,2079084000.0,,,,,
49,Al0.5Fe1Co1Si0.5Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2046000000.0,
50,Al0.5V0.2Cr1Fe1Co1Cu1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,2000628000.0,,,,,
51,Al0.5V0.4Cr1Fe1Co1Cu1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,2265417000.0,,,,,
52,Al0.5V0.6Cr1Fe1Co1Cu1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,3216696000.0,,,,,
53,Al0.5V0.8Cr1Fe1Co1Cu1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,4383729000.0,,,,,
54,Al0.5V1.2Cr1Fe1Co1Cu1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5678253000.0,,,,,
55,Al0.5V1.4Cr1Fe1Co1Cu1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5658639000.0,,,,,
56,Al0.5V1.6Cr1Fe1Co1Cu1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5825358000.0,,,,,
57,Al0.5V1.8Cr1Fe1Co1Cu1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5854779000.0,,,,,
58,Al0.5V1Cr1Fe1Co1Cu1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,6266673000.0,,,,,
59,Al0.5V2Cr1Fe1Co1Cu1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5756709000.0,,,,,
60,Al0.6Cr1Fe1Co1Ni1,0.091,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,2235996000.0,,,,,
61,Al0.6Cr1Fe1Ni2.4,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,45.0,441000000.0,,757000000.0,
62,Al0.75Cr1Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.17e-06,,,,,3275538000.0,,,,,
63,Al0.75Cr1Fe1Co1Ni1,0.12433333333333332,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.341e-05,,,,,,,,,,
64,Al0.75Cr1Fe1Co1Ni1,0.19999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.414e-05,,,,,,,,,,
65,Al0.75Cr1Fe1Co1Ni1,0.35766666666666663,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.251e-05,,,,,,,,,,
66,Al0.75Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,794000000.0,,,3775695000.0,,,,,
67,Al0.7Cr1Fe1Co0.3Ni1,0.09933333333333333,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,8.0,2033000000.0,,,6119568000.0,,,2635000000.0,,
