,composition,temperature,VAM,CW,HIP,SPS,A,BCC,FCC,HCP,IM,CTE,compressive ductility,compressive yield stress,d parameter,density,hardness,tensile ductility,tensile yield stress,ultimate compressive strength,ultimate tensile strength,youngs modulus
149,Al21.3Cr21.3Fe15Co21.3Ni21.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5472306000.0,,,,,
150,Al21.3Cr21.3Fe21.3Co21.3Ni15,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5442885000.0,,,,,
151,Al22.5Cr10Fe22.5Co22.5Ni22.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,4668132000.0,,,,,
152,Al22.5Cr22.5Fe10Co22.5Ni22.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5756709000.0,,,,,
153,Al22.5Cr22.5Fe22.5Co10Ni22.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5285973000.0,,,,,
154,Al22.5Cr22.5Fe22.5Co22.5Ni10,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5374236000.0,,,,,
155,Al23.8Cr23.8Fe23.8Co23.8Ni5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,6031305000.0,,,,,
156,Al23.8Cr23.8Fe23.8Co5Ni23.8,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5393850000.0,,,,,
157,Al23.8Cr23.8Fe5Co23.8Ni23.8,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,6521655000.0,,,,,
158,Al23.8Cr5Fe23.8Co23.8Ni23.8,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,4295466000.0,,,,,
159,Al23Cr26(FeNi)26,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,37.1,770000000.0,,,,,,,,
160,Al29Cr24(FeNi)24,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,31.4,906800000.0,,,,,,,,
161,Al2Cr1Fe1Co1Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5933235000.0,,,,,
162,Al2CrFeCoCuNi,0.091,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,5491920000.0,,,,,
163,Al2CrFeCoCuNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1620000000.0,,,,,,,,
164,Al2CrFeCoCuNi,0.25766666666666665,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1120000000.0,,,,,,,,
165,Al2CrFeCoCuNi,0.291,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,805000000.0,,,,,,,,
166,Al2CrFeCoCuNi,0.3243333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,567000000.0,,,,,,,,
167,Al2CrFeCoCuNi,0.35766666666666663,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,302000000.0,,,,,,,,
168,Al2CrFeCoCuNi,0.391,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,214000000.0,,,,,,,,
169,Al2CrFeCoCuNi,0.42433333333333334,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,116000000.0,,,,,,,,
170,Al2CrFeCoCuNi,0.45766666666666667,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,79000000.0,,,,,,,,
171,Al2CrFeCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,9.98,1241000000.0,,,4970677950.0,,,,,
172,Al2CrFeCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.84e-06,,,,,5006473500.0,,,,,
173,Al2CrFeCoNi,0.12433333333333332,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.171e-05,,,,,,,,,,
174,Al2CrFeCoNi,0.19999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.285e-05,,,,,,,,,,
175,Al2CrFeCoNi,0.35766666666666663,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.53e-05,,,,,,,,,,
176,Al30Cr23(FeNi)23,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,24.7,1122800000.0,,,,,,,,
177,Al3CrFeCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,4962342000.0,,,,,
178,Al43Cr25Fe5Co22Ni5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,8316336000.0,,,,,
179,Al47Cr18Fe5Co20(CuNi)5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,8659581000.0,,,,,
180,Al4Cr19Fe19Co19Cu4Ni37,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,30.0,719000000.0,,1048000000.0,
181,Al4Cr19Fe19Co19Cu4Ni37,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,32.0,460000000.0,,732000000.0,
182,Al7Cr23Fe23(CoNi)23,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,62.5,211000000.0,,499500000.0,
183,Al7Cr23Fe23(CoNi)23,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,55.0,285000000.0,,540000000.0,
184,Al7Cr23Fe23(CoNi)23,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,43.0,215000000.0,,520000000.0,
185,Al7Cr23Fe23(CoNi)23,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,45.0,490000000.0,,840000000.0,
186,Al7Cr23Fe23(CoNi)23,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,25.0,,,,,,,,,
187,Al7Cr23Fe23(CoNi)23,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,58.0,175000000.0,,335000000.0,
188,Al7Cr23Fe23(CoNi)23,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,44.0,305000000.0,,525000000.0,
189,Al7Cr23Fe23(CoNi)23,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,44.0,280000000.0,,570000000.0,
190,Al8Cr17Fe17Co17Cu8Ni33,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,9.0,357000000.0,,459000000.0,
191,Al8Cr17Fe17Co17Cu8Ni33,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,19.55,290000000.0,,427000000.0,
192,Al9Cr5Fe5Co15Ni15Mo,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,14.7,1250800000.0,,,3556018200.0,,,,,
193,Al9Cr5Fe5Co15Ni15W,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,20.3,,,1266500000.0,
194,Al9Cr5Fe5Co15Ni16,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,16.7,1129400000.0,,,2995057800.0,,,,,
195,Al9Cr8(FeNi)8,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,27.1,1044000000.0,,,,,,,,
196,AlCr(FeNi)2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,17.0,,,,,,,,,
197,AlCr2Fe2Co2(CuNi)2,0.09933333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,5.0,1290000000.0,,1400000000.0,
198,AlCr2Fe2Co2(CuNi)2,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,17.3,967000000.0,,1067000000.0,
199,AlCr2Fe2Co2(CuNi)2,0.3243333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,5.0,180000000.0,,185000000.0,
200,AlCr2Fe2Co2(CuNi)2,0.3243333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,12.0,160000000.0,,180000000.0,
201,AlCrCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,16.7,1750000000.0,,,11601681000.0,,,,,
202,AlCrFe(CoNi)2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,14.8,,,,
203,AlCrFeCoCuNi,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.14e-05,,,,,,,,,,
204,AlCrFeCoCuNi,0.091,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,4491606000.0,,,,,
205,AlCrFeCoCuNi,0.09933333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,1.0,1040000000.0,,1170000000.0,
206,AlCrFeCoCuNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,24.0,1125500000.0,,,4628904000.0,0.2,790000000.0,,790000000.0,
207,AlCrFeCoCuNi,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.4800000000000002e-05,,,,,,,,,,
208,AlCrFeCoCuNi,0.291,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,561000000.0,,,,,,,,
209,AlCrFeCoCuNi,0.3243333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,63.0,63000000.0,,91000000.0,
210,AlCrFeCoCuNi,0.3243333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,307000000.0,,,,5.0,350000000.0,,360000000.0,
211,AlCrFeCoCuNi,0.35766666666666663,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,172000000.0,,,,,,,,
212,AlCrFeCoCuNi,0.391,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,98000000.0,,,,,,,,
213,AlCrFeCoCuNi,0.42433333333333334,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,47000000.0,,,,,,,,
214,AlCrFeCoNi,0.09933333333333333,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,31.5,1191700000.0,,,5109447000.0,,,,,
215,AlCrFeCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,17.925,1363755555.5555556,,,4724522250.0,,,2767500000.0,,127000000000.0
216,AlCrFeCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,5580000000.0,,,,,193000000000.0
217,AlCrFeCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,4746588000.0,,,,,
218,AlCrFeCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.03e-06,11.9,1453333333.3333333,,,4246431000.0,0.8,900000000.0,,935000000.0,
219,AlCrFeCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,1.6,1430000000.0,,,,,,,,
220,AlCrFeCoNi,0.12433333333333332,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.247e-05,,,,,,,,,,
221,AlCrFeCoNi,0.19999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.354e-05,,,,,,,,,,
222,AlCrFeCoNi,0.3243333333333333,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,12.0,295000000.0,,393000000.0,
223,AlCrFeCoNi,0.3243333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,395000000.0,,400000000.0,
224,AlCrFeCoNi,0.35766666666666663,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.409e-05,,,,,,,,,,
225,AlCrFeCoNi2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,42.7,575527777.5,,,2873451000.0,,,,,
226,AlCrFeCoNi2,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.465e-05,,,,,,,,,,
227,AlCrFeCoNi2,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4800000000000002e-05,,,,,,,,,,
228,AlCrFeCoNi3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,14.0,,,,
229,AlCrFeCoSiNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,2411000000.0,,,,,,2950000000.0,,
230,AlCrFeCuNi,0.091,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,6394164000.0,,,,,
231,AlCrFeCuNi,0.09766666666666667,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,5.0,1511000000.0,,,,,,,,
232,AlCrFeCuNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,3353994000.0,,,,,
233,AlCrFeCuNi,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,4854465000.0,,,,,
234,AlCrFeCuNi,0.22433333333333333,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,17.0,1366000000.0,,,,,,,,
235,AlCrFeCuNi,0.291,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,35.0,410000000.0,,,,,,,,
236,AlCrFeCuNi,0.35766666666666663,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,35.0,48000000.0,,,,,,,,
237,AlCrFeNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,34.6,1124600000.0,,,4628904000.0,,,2927000000.0,,
238,AlCrFeNi2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,6.4,774000000.0,,1357000000.0,
239,AlCrFeNiMo,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,8875335000.0,,,,,
240,AlFeCoCuNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,24.5,994000000.0,,,4547505900.0,,,,,
241,AlFeCoCuNi2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,544000000.0,,,2934254400.0,,,,,
242,AlFeCoCuNi3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,268000000.0,,,2742037200.0,,,,,
243,AlFeCoCuSiNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,6688374000.0,,,,,
244,AlFeCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,964000000.0,,,4471992000.0,,,,,
245,AlVCrFeCoCuNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,16.0,1469000000.0,,,,,,,,
246,Cr(CoNi)2,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,65.75,521250000.0,,687250000.0,223000000000.0
247,Cr0.2Fe1Co1Si0.2Ni1,0.09933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,3120587400.0,10.0,705000000.0,,1070000000.0,
248,Cr0.2Fe1Co1Si0.2Ni1,0.09933333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,1508316600.0,60.0,320000000.0,,920000000.0,
249,Cr0.2Fe1Co1Si0.2Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1275890700.0,61.0,225000000.0,,732000000.0,
250,Cr10Fe3Co17Ni17Mo3,0.09933333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,8.0,,,,
251,Cr10Fe3Co17Ni17Mo3,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,44.833333333333336,689400000.0,,1300000000.0,
252,Cr12.5Fe55Co17.5Ni10Mo5,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,78.225,309000000.0,,717250000.0,
253,Cr12.5Fe55Co18Ni7Mo7.5,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,52.225,549250000.0,,950000000.0,
254,Cr16.7Fe16.7Co16.7Cu16.7Ni33.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1549506000.0,,,,,
255,Cr16.7Fe33.3Co16.7Cu16.7Ni16.7,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1539699000.0,,,,,
256,Cr1Fe1Co1Cu0.5Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1686804000.0,,,,,
257,Cr1Fe1Co1Ni1Mo0.15,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,1218500000.0,,1369000000.0,
258,Cr1Fe1Co1Ni1Mo0.15,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,489000000.0,,895000000.0,
259,Cr1Fe1Co1Ni1Mo0.2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,53.0,400000000.0,,780000000.0,
260,Cr1Fe1Co1Ni1Mo0.2,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,39.0,,,840800000.0,
261,Cr1Fe1Co1Ni1Mo0.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,58.0,305000000.0,,,,,,,,
262,Cr1Fe1Co1Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,33.0,510000000.0,,,2059470000.0,,,,,
263,Cr1Fe1Co1Ni1Mo0.85,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,21.0,929000000.0,,,,,,,,
264,Cr1Fe1Co1Ni1W0.2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,52.0,335000000.0,,,2392908000.0,,,,,
265,Cr1Fe1Co1Ni1W0.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,52.0,335000000.0,,,2353680000.0,,,,,
266,Cr1Fe1Co1Ni1W0.5,0.09933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,532500000.0,,,2645928600.0,,,,,
267,Cr1Fe1Co1Ni1W0.5,0.09933333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,44.599999999999994,861950000.0,,,3116664600.0,,,,,
268,Cr1Fe1Co1Ni1W0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,35.6,556000000.0,,,3509925300.0,,,,,
269,Cr21.3Fe15Co21.3Cu21.3Ni21.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1676996999.9999998,,,,,
270,Cr21.3Fe21.3Co21.3Cu21.3Ni15,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1637769000.0,,,,,
271,Cr21.5Fe20Co28.5Ni26Mo4,0.09933333333333333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,3353994000.0,,,,,
272,Cr21.5Fe20Co28.5Ni26Mo4,0.09933333333333333,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,3342961125.0,,,,,
273,Cr22.5Fe10Co22.5Cu22.5Ni22.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1686804000.0,,,,,
274,Cr22.5Fe22.5Co22.5Cu22.5Ni10,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1667190000.0,,,,,
275,Cr23.8Fe5Co23.8Cu23.8Ni23.8,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1784873999.9999995,,,,,
276,Cr23Fe23Co23Ni23Mo7,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,27.266666666666666,715300000.0,,1098366666.6666667,
277,Cr23Fe23Co23Ni23Mo7,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,49.3,305300000.0,,709700000.0,
278,Cr24.1Fe24.1Co24.1Ni24.1Mo3.6,0.091,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,2059470000.0,,,,,
279,Cr2CoNi2,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,51.0,432750000.0,,669750000.0,240000000000.0
280,Cr3Fe4Co7(Ni2Mo)2,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,62.4,350000000.0,,918000000.0,
281,Cr3Fe4Co7(Ni2Mo)2,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,19.78,1045800000.0,,1268000000.0,
282,Cr3Fe4Co7(Ni2Mo)2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,21.9,350000000.0,,720000000.0,
283,Cr5Co47.5Ni47.5,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,219000000000.0
284,Cr5Fe2Co11Ni2,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,20.3,392000000.0,,746000000.0,
285,Cr5Fe3(Co3Ni)3,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,76.1,299000000.0,,841000000.0,
286,Cr5Fe4Co7Ni4,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,96.2,241000000.0,,721000000.0,
287,Cr5FeCo13Ni,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,13.3,482000000.0,,857000000.0,
288,Cr7(Fe3W28)3,0.09933333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,13500000000.0,,,,,
289,CrCoCuNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1794681000.0,,,,,
290,CrCoNi,0.09933333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,60.0,300000000.0,,860000000.0,
291,CrCoNi,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,3324573000.0,50.666666666666664,681000000.0,,,
292,CrCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,235000000000.0
293,CrCoNi,0.09938333333333332,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,31.666666666666668,,,,
294,CrCoNi,0.09999999999999999,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.312e-05,,,,,,,,,,
295,CrCoNi,0.16666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.522e-05,,,,,,,,,,
296,CrCoNi,0.22333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.593e-05,,,,,,,,,,
297,CrFe3(CoNi)3,0.14833333333333332,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.59e-06,,,,,,,,,,
298,CrFe3(CoNi)3,0.23166666666666666,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.443e-05,,,,,,,,,,
299,CrFe3(CoNi)3,0.375,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.934e-05,,,,,,,,,,
300,CrFeCoCuNi,0.091,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,1569120000.0,,,,,
301,CrFeCoCuNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,50.2,300000000.0,,,2804802000.0,,,,,
302,CrFeCoNi,0.0014,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,61.6,680000000.0,,1251000000.0,221000000000.0
303,CrFeCoNi,0.006666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,62.0,,,1240000000.0,
304,CrFeCoNi,0.016666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,68.6,,,1152000000.0,
305,CrFeCoNi,0.025666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,78.0,590000000.0,,1070000000.0,204000000000.0
306,CrFeCoNi,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,72.0,488000000.0,,790000000.0,194000000000.0
307,CrFeCoNi,0.091,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,928722900.0,,,,,
308,CrFeCoNi,0.09766666666666667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,63.0,446000000.0,,664000000.0,189000000000.0
309,CrFeCoNi,0.09933333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,39.0,274000000.0,,708000000.0,
310,CrFeCoNi,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,70.38333333333334,372000000.0,,617400000.0,210000000000.0
311,CrFeCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,79.5,155500000.0,,,1741289625.0,53.45,151500000.0,,442700000.0,204000000000.0
312,CrFeCoNi,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.125e-05,,,,,1122901500.0,70.0,190000000.0,,453000000.0,214000000000.0
